ID,NAME,PARENT_ID
1,Technic,
614,Jungle,52
613,Freemakers,158
612,Star Wars Episode 8,158
611,Series 17 Minifigures,535
610,Brickheadz,
609,The LEGO Batman Movie,535
608,Disney,
607,Ghostbusters,
606,Angry Birds,
605,Nexo Knights,
604,Dimensions,
603,Scooby-Doo,
602,Jurassic World,
601,Speed Champions,
600,Elves,
599,LEGO Exclusive,
598,Promotional,
597,Nijago,591
596,Marvel Super Heroes,591
595,Friends,591
594,Fantasy,591
593,Disney Princess,591
592,DC Comics Super Heroes,591
591,Juniors,
590,Fusion,
589,Series 9,580
588,Series 8,580
587,Series 7,580
586,Series 6,580
585,Series 5,580
584,Series 4,580
583,Series 3,580
582,Series 2,580
581,Series 1,580
580,Mixels,
579,Disney Princess,
578,The LEGO Movie,
577,Minecraft,
576,LEGO Ideas and CUUSOO,
575,The Lone Ranger,
574,Legend Beasts,571
573,Constraction,571
572,Speedorz,571
571,Legends of Chima,
570,Teenage Mutant Ninja Turtles,
569,The Return of the King,566
568,The Two Towers,566
567,The Fellowship of the Ring,566
566,The Lord of the Rings,561
565,The Battle of the Five Armies,562
564,The Desolation of Smaug,562
563,An Unexpected Journey,562
562,The Hobbit,561
561,The Hobbit and Lord of the Rings,
560,Universe,
559,Value Packs,
558,Monster Fighters,
557,DFB Minifigures,535
556,Series 16 Minifigures,535
555,Disney,535
554,Series 15 Minifigures,535
553,The Simpsons Series 2,535
552,Series 14 Minifigures,535
551,Series 13 Minifigures,535
550,The Simpsons,535
549,The LEGO Movie Series,535
548,Series 12 Minifigures,535
547,Series 11 Minifigures,535
546,Team GB,535
545,Series 10 Minifigures,535
544,Series 9 Minifigures,535
543,Series 8 Minifigures,535
542,Series 7 Minifigures,535
541,Series 6 Minifigures,535
540,Series 5 Minifigures,535
539,Series 4 Minifigures,535
538,Series 3 Minifigures,535
537,Series 2 Minifigures,535
536,Series 1 Minifigures,535
535,Collectible Minifigures,
534,Universal Building Set,507
533,Town,507
532,Supplemental,529
531,eLAB,529
530,Control Lab,529
529,Technic,507
528,Supplemental,507
527,Space,507
526,Soft Bricks,507
525,Technic,524
524,Service Packs,507
523,Samsonite,507
522,Primo,507
521,WeDo,518
520,RCX,518
519,NXT,518
518,Mindstorms,507
517,Learning,507
516,Explore,507
515,Dinosaurs,507
514,Creator,507
513,Classic,507
512,Castle,507
511,Building Set with People,507
510,Boat,507
509,Adventurers,507
508,4 Juniors,507
507,Educational and Dacta,
506,Cars,504
505,Basic Set,504
504,Duplo,
503,Key Chain,501
502,Game,501
501,Gear,
500,Clikits,
499,Train,497
498,Technic,497
497,Books,
496,Animals,494
495,Jungle Rescue,494
494,Friends,
493,Marvel,482
492,Constraction,482
491,X-Men,482
490,Iron Man,482
489,Superman,482
488,Spider-Man,482
487,Avengers,482
486,Justice League,482
485,Ultimate Collector Series,484
484,Batman,482
483,Guardians of the Galaxy,482
482,Super Heroes,
481,Dino,
480,Znap,
479,Creator,478
478,X-Pod,
477,Indians,475
476,Cowboys,475
475,Western,
474,Vikings,
473,Supplemental,465
472,Gears,465
471,Ferries,465
470,Classic Basic,465
469,Basic Set,465
468,Basic Model,465
467,Basic,465
466,Airport,465
465,Universal Building Set,
464,Time Cruisers,
463,Spybiotics,
462,Soccer,458
461,Hockey,458
460,Gravity Games,458
459,Basketball,458
458,Sports,
457,Western ,443
456,Train,443
455,Classic Town,454
454,Town,443
453,Technic,443
452,Space,443
451,Scala,443
450,Primo,443
449,Pirates,443
448,Fabuland,443
447,Castle,443
446,Belville,443
445,Aquazone,443
